Ensembl_ID	TCGA-38-7271-01A	TCGA-55-7914-01A	TCGA-95-7043-01A	TCGA-73-4658-01A	TCGA-44-2668-01A	TCGA-55-6978-11A	TCGA-38-4626-11A	TCGA-55-6986-11A	TCGA-91-6835-11A	TCGA-50-5072-11A
ENSG00000000003	10.586	11.520	10.527	11.838	10.982	10.552	11.211	12.723	11.294	10.829
ENSG00000000005	0.000	0.000	0.000	0.500	0.000	0.500	0.000	0.500	0.000	0.000
ENSG00000000419	9.581	10.500	10.317	9.940	10.394	9.765	11.436	11.016	9.785	10.256
ENSG00000000457	8.997	9.693	8.547	8.836	9.218	8.524	9.281	10.118	8.986	8.966
ENSG00000000460	7.435	7.919	7.435	7.313	7.836	6.492	7.384	7.665	6.600	6.858
ENSG00000000938	0.000	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500	0.500
ENSG00000000971	9.097	8.780	7.918	9.780	8.340	9.137	9.918	8.780	8.543	9.321
ENSG00000001036	10.540	10.811	10.423	10.649	10.327	10.188	10.594	10.812	10.225	10.449
ENSG00000001084	9.852	9.340	9.451	9.129	9.015	8.992	9.536	9.780	9.012	9.234
ENSG00000001167	9.394	9.827	9.513	9.245	9.612	9.088	9.729	9.918	9.165	9.435
ENSG00000001460	8.123	8.560	8.234	8.456	8.012	7.890	8.345	8.567	7.945	8.123
ENSG00000001461	6.745	7.123	6.890	7.234	6.567	6.234	6.890	7.012	6.345	6.567
ENSG00000001497	9.234	9.567	9.345	9.123	9.456	8.890	9.345	9.678	9.012	9.234
ENSG00000001561	7.890	8.234	7.567	8.012	7.456	7.123	7.890	8.123	7.234	7.567
ENSG00000001617	8.456	8.890	8.234	8.567	8.123	7.890	8.345	8.678	8.012	8.234
ENSG00000001626	5.678	6.012	5.345	6.234	5.567	0.000	5.890	6.123	0.000	5.234
ENSG00000001629	7.234	7.567	7.012	7.345	7.123	6.890	7.234	7.456	6.789	7.012
ENSG00000001630	9.012	9.345	8.890	9.123	8.789	8.567	9.012	9.234	8.456	8.789
ENSG00000001631	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.500	0.000	0.000
ENSG00000002016	8.567	8.890	8.345	8.678	8.234	8.012	8.456	8.789	8.123	8.345
ENSG00000002079	7.890	8.123	7.567	8.012	7.456	7.234	7.789	8.012	7.345	7.567
ENSG00000002330	6.234	6.567	5.890	6.345	6.012	5.789	6.123	6.456	5.678	5.901
ENSG00000002549	8.901	9.234	8.567	9.012	8.456	8.234	8.789	9.012	8.345	8.567
ENSG00000002586	10.123	10.456	9.890	10.234	9.789	9.567	10.012	10.345	9.678	9.890
ENSG00000002587	7.456	7.789	7.123	7.567	7.012	6.789	7.345	7.567	6.890	7.123
ENSG00000002726	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ENSG00000002745	9.567	9.890	9.234	9.678	9.123	8.901	9.456	9.789	9.012	9.234
ENSG00000002746	8.234	8.567	7.890	8.345	7.789	7.567	8.123	8.456	7.678	7.890
ENSG00000002822	7.012	7.345	6.678	7.123	6.567	6.345	6.890	7.234	6.456	6.678
ENSG00000002834	9.789	10.123	9.456	9.890	9.345	9.123	9.678	10.012	9.234	9.456
