Gene_ID	TCGA-38-7271-01A	TCGA-55-7914-01A	TCGA-95-7043-01A	TCGA-73-4658-01A	TCGA-44-2668-01A	TCGA-55-6978-11A	TCGA-38-4626-11A	TCGA-55-6986-11A	TCGA-91-6835-11A	TCGA-50-5072-11A
SFTPC	3.234	2.890	3.456	3.012	2.789	10.234	11.123	10.890	11.456	10.567
SFTPB	4.567	4.123	4.890	4.234	4.012	10.890	10.567	11.234	10.789	11.012
AGER	5.123	4.890	5.345	4.678	5.012	10.456	11.012	10.789	11.123	10.345
MYC	11.234	10.890	11.567	10.456	11.012	7.890	8.123	7.567	8.234	7.456
EGFR	10.567	11.234	10.890	11.012	10.456	7.123	7.567	6.890	7.234	7.012
KRAS	5.234	4.890	5.567	4.678	5.012	9.456	9.890	9.234	9.678	9.012
TP53	12.012	11.567	12.345	11.234	11.890	8.123	8.567	7.890	8.234	7.678
CDKN2A	5.890	5.456	6.123	5.234	5.678	9.567	10.012	9.234	9.890	9.345
RB1	4.678	4.234	4.890	4.012	4.456	9.012	9.456	8.789	9.234	8.567
BRCA1	5.012	4.567	5.234	4.345	4.789	9.123	9.567	8.890	9.345	8.678
TSPAN6	10.540	10.811	10.423	10.649	10.327	10.188	10.594	10.812	10.225	10.449
TNMD	9.852	9.340	9.451	9.129	9.015	8.992	9.536	9.780	9.012	9.234
DPM1	9.394	9.827	9.513	9.245	9.612	9.088	9.729	9.918	9.165	9.435
SCYL3	8.123	8.560	8.234	8.456	8.012	7.890	8.345	8.567	7.945	8.123
C1orf112	6.745	7.123	6.890	7.234	6.567	6.234	6.890	7.012	6.345	6.567
