tissue_of_origin,BFB,Complex-non-cyclic,Linear,ecDNA
lung,10.565110565110565,16.461916461916463,47.420147420147416,25.552825552825553
breast,6.25,15.384615384615385,48.55769230769231,29.807692307692307
ovary,6.5420560747663545,12.149532710280374,55.140186915887845,26.168224299065418
oesophagus,13.095238095238097,14.285714285714285,47.61904761904761,25.0
stomach,6.172839506172839,17.28395061728395,43.20987654320987,33.33333333333333
upper aerodigestive tract,22.22222222222222,25.0,52.77777777777778,0.0
endometrium,6.0606060606060606,15.151515151515152,42.42424242424242,36.36363636363637
haematopoietic and lymphoid tissue,0.0,17.857142857142858,64.28571428571429,17.857142857142858
large intestine,11.538461538461538,26.923076923076923,46.15384615384615,15.384615384615385
pancreas,30.76923076923077,7.6923076923076925,46.15384615384615,15.384615384615385
liver,16.0,32.0,32.0,20.0
urinary tract,20.833333333333336,25.0,29.166666666666668,25.0
skin,9.523809523809524,19.047619047619047,61.904761904761905,9.523809523809524
central nervous system,0.0,27.77777777777778,38.88888888888889,33.33333333333333
prostate,0.0,18.181818181818183,45.45454545454545,36.36363636363637
kidney,28.57142857142857,0.0,42.857142857142854,28.57142857142857
thyroid,0.0,16.666666666666664,33.33333333333333,50.0
pleura,0.0,75.0,0.0,25.0
bone,50.0,0.0,50.0,0.0
soft tissue,0.0,50.0,50.0,0.0
autonomic ganglia,0.0,0.0,0.0,100.0
